Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
471.5,205.5,74.44134622,36.66933055,0.98195356,0.9753477,1.010534,0.9768117,0.12474232,0.13206229
476.5,205.5,74.44285689,36.66933762,0.9013151,0.89059645,0.9426762,0.8963678,0.09715585,0.08859331
479.5,205.5,74.4437633,36.66934186,0.6948677,0.6475855,0.6857995,0.6934534,0.110971466,0.1059285
482.5,205.5,74.4446697,36.66934609,0.46050808,0.48091593,0.52164584,0.53464043,0.20811503,0.1892508
485.5,205.5,74.44557611,36.66935031,0.50770664,0.51383185,0.55061185,0.54746336,0.18272087,0.17242278
487.5,205.5,74.44618038,36.66935313,0.6177295,0.6028829,0.63164735,0.61644304,0.14523824,0.1331729
490.5,205.5,74.44708678,36.66935734,0.33564752,0.3257239,0.3472816,0.3544902,0.1709951,0.15933953
493.5,205.5,74.44799319,36.66936154,0.13951571,0.12486433,0.12390474,0.11107894,0.06082577,0.05960428
496.5,205.5,74.44889959,36.66936574,0.48172024,0.47346383,0.5192472,0.5347194,0.24393158,0.2192961
501.5,205.5,74.45041027,36.66937272,0.3281968,0.34637824,0.34612212,0.31126404,0.043743107,0.048059363
504.5,205.5,74.45131667,36.6693769,0.5675173,0.5595564,0.5889057,0.5690932,0.10586186,0.10798212
507.5,205.5,74.45222308,36.66938107,0.52534515,0.59309316,0.6319727,0.6481124,0.12688783,0.12459087
509.5,205.5,74.45282735,36.66938385,0.7056448,0.6935542,0.7191489,0.64148074,0.07007618,0.067738555
250.5,207.5,74.37457894,36.66851183,0.74108654,0.7161404,0.7330444,0.74293065,0.09236494,0.09614311
388.5,208.5,74.41627463,36.6684801,0.18807872,0.15106978,0.13652952,0.10985331,0.008459958,0.008482578
391.5,208.5,74.41718102,36.66848454,0.17196423,0.13455456,0.11912701,0.09522719,0.008482578,0.008075414
394.5,208.5,74.41808741,36.66848897,0.22992763,0.20187615,0.2080748,0.20100938,0.042277187,0.04526306
396.5,208.5,74.41869167,36.66849192,0.19676372,0.1793331,0.17143865,0.15361391,0.042620044,0.043837093
399.5,208.5,74.41959806,36.66849634,0.56883055,0.62396175,0.6262993,0.5749242,0.057177797,0.061694916
402.5,208.5,74.42050446,36.66850076,1.0572239,1.0378836,1.0578799,0.9626035,0.08893804,0.092261516
407.5,208.5,74.42201511,36.6685081,1.0290391,1.0065998,1.0364585,0.9768316,0.07940041,0.08557279
