Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
341.5,191.5,74.40204254,36.67254728,1.176508,1.1941175,1.2624202,1.2640008,0.12087299,0.1268551
344.5,191.5,74.40294897,36.67255183,1.1973343,1.2003293,1.2701294,1.280196,0.10647585,0.11245796
347.5,191.5,74.40385541,36.67255637,1.2012445,1.2061253,1.2785044,1.2812594,0.09651521,0.102440074
350.5,191.5,74.40476184,36.6725609,1.1073735,1.1087322,1.1691037,1.138433,0.10467263,0.11240072
352.5,191.5,74.40536613,36.67256392,0.9603134,0.95726293,1.0079714,0.9772022,0.08785693,0.09431127
355.5,191.5,74.40627257,36.67256845,0.89736295,0.890846,0.9388766,0.91019684,0.08812838,0.08797003
358.5,191.5,74.40717901,36.67257296,0.9118942,0.9077068,0.9552773,0.92860115,0.08744977,0.087540254
361.5,191.5,74.40808544,36.67257747,0.9081782,0.90346384,0.95066285,0.93000364,0.088151,0.08830934
366.5,191.5,74.40959617,36.67258497,0.86603224,0.8608516,0.89828986,0.87061185,0.085775875,0.08638662
372.5,191.5,74.41140904,36.67259394,0.8742183,0.84794277,0.8856673,0.8438784,0.0980322,0.10266905
383.5,191.5,74.41473265,36.67261032,0.94425046,0.9506365,0.98756444,0.9529587,0.12633252,0.13382918
225.5,193.5,74.36699785,36.67187936,1.0252188,1.0304193,1.0717736,0.96261394,0.11740966,0.12817174
228.5,193.5,74.36790427,36.67188418,1.011482,1.0263482,1.0718399,0.972294,0.12336315,0.13366726
239.5,193.5,74.37122781,36.67190177,0.8846199,0.875821,0.8800235,0.7179132,0.11460465,0.12107334
247.5,193.5,74.37364494,36.67191451,0.9250687,0.9473943,0.9881057,0.86565626,0.124221824,0.13086225
308.5,194.5,74.3920775,36.67176663,0.5372142,0.5306793,0.541071,0.51624924,0.13436666,0.13380495
336.5,194.5,74.40053747,36.67180952,1.1129752,1.1131139,1.1595364,1.1610893,0.11311628,0.115949914
338.5,194.5,74.40114176,36.67181256,0.9783111,1.0094259,1.0680779,1.0598694,0.10246869,0.10727728
341.5,194.5,74.40204819,36.67181711,1.175787,1.1758424,1.2380165,1.2505788,0.109051876,0.113717355
347.5,194.5,74.40386104,36.6718262,1.0138352,1.005072,1.0574026,1.0246297,0.09113417,0.10029338
350.5,194.5,74.40476747,36.67183073,0.89245445,0.87958705,0.92318094,0.895628,0.08064108,0.08872987
352.5,194.5,74.40537175,36.67183375,0.85080177,0.83787894,0.87903243,0.85278,0.08941773,0.09025468
355.5,194.5,74.40627818,36.67183828,0.8563481,0.8446454,0.8824616,0.85512704,0.090933286,0.0922905
358.5,194.5,74.40718461,36.67184279,0.8659432,0.8550984,0.8901038,0.862941,0.092946485,0.09362509
361.5,194.5,74.40809103,36.6718473,0.8604246,0.8494707,0.8868122,0.8623686,0.09529899,0.09627166
363.5,194.5,74.40869532,36.6718503,0.87058324,0.857789,0.89522725,0.87075496,0.09507278,0.0960907
366.5,194.5,74.40960175,36.6718548,0.928687,0.9202147,0.96034354,0.9355278,0.091046385,0.091114245
369.5,194.5,74.41050818,36.67185929,0.89872175,0.89930415,0.95057964,0.92682654,0.08652234,0.08806051
372.5,194.5,74.41141461,36.67186377,0.8869914,0.87542737,0.92548263,0.8893024,0.083807915,0.085934214
383.5,194.5,74.41473818,36.67188015,1.0473863,1.0432972,1.0967581,1.0825222,0.11715206,0.12937388
385.5,194.5,74.41534247,36.67188312,0.7873775,0.7529732,0.7790483,0.7404938,0.09744791,0.10154217
234.5,197.5,74.36972505,36.67092023,0.93725586,0.96559626,1.011193,0.8792092,0.12808587,0.1343542
236.5,197.5,74.37032932,36.67092343,0.9255152,0.943507,0.98553175,0.8598516,0.117094815,0.122618966
239.5,197.5,74.37123574,36.67092822,0.77425253,0.73186016,0.7755658,0.6914639,0.13349552,0.13833274
242.5,197.5,74.37214215,36.670933,0.83327097,0.8469027,0.8748492,0.75279367,0.10724866,0.11483363
245.5,197.5,74.37304856,36.67093778,0.9872127,1.0139772,1.0672172,0.97016644,0.119899824,0.12831485
250.5,197.5,74.37455924,36.67094572,0.94303423,0.9669883,1.015343,0.91506153,0.12021467,0.1267406
258.5,197.5,74.37697634,36.67095839,0.6577873,0.6317131,0.64996254,0.63999224,0.13409661,0.14053668
292.5,197.5,74.38724903,36.67101169,0.98020756,0.9516423,0.9826691,0.94248307,0.08011449,0.08804293
294.5,197.5,74.38785331,36.6710148,0.90438944,0.9283667,0.94766784,0.903963,0.0842377,0.088003226
303.5,197.5,74.39057255,36.67102874,0.70503044,0.6817889,0.7129589,0.6921217,0.13232526,0.13022403
305.5,197.5,74.39117683,36.67103183,0.5745689,0.5219607,0.5581682,0.54545975,0.14611462,0.14209601
330.5,197.5,74.3987303,36.67107021,1.0907944,1.1100911,1.1697415,1.1629437,0.11574955,0.11755277
333.5,197.5,74.39963672,36.67107478,1.1785601,1.1772013,1.2498856,1.2544656,0.11437567,0.11706619
336.5,197.5,74.40054314,36.67107935,1.0838572,1.0637796,1.1286712,1.0983042,0.092164576,0.09860465
338.5,197.5,74.40114742,36.67108239,0.91366905,0.9014949,0.9427039,0.91769594,0.08077281,0.08933095
341.5,197.5,74.40205383,36.67108694,0.9292819,0.92530954,0.9636351,0.9333811,0.08297674,0.090447225
344.5,198.5,74.40296213,36.6708481,0.94059634,0.92714137,0.9659535,0.9383042,0.08257603,0.09127728
347.5,198.5,74.40386855,36.67085264,0.93779546,0.9186405,0.95742404,0.9311485,0.08134526,0.09018962
355.5,198.5,74.40628566,36.67086472,0.89153934,0.8775349,0.9165224,0.8908194,0.08851292,0.09139177
361.5,198.5,74.40809849,36.67087374,0.940641,0.91755146,0.96151704,0.9302326,0.094643004,0.096407376
363.5,198.5,74.40870277,36.67087674,0.9250112,0.8927085,0.93169236,0.9018677,0.09450728,0.096475236
366.5,198.5,74.40960919,36.67088124,0.7539912,0.755045,0.79018074,0.7315349,0.09545733,0.09738005
369.5,198.5,74.4105156,36.67088573,0.64594305,0.6486801,0.68211275,0.6406348,0.08236249,0.090737395
372.5,198.5,74.41142202,36.67089021,0.54707,0.5334979,0.5471549,0.4991063,0.058707535,0.06217397
377.5,198.5,74.41293272,36.67089767,0.84744626,0.8511068,0.88100135,0.865028,0.10106714,0.10491258
385.5,198.5,74.41534983,36.67090956,0.71821463,0.71280843,0.7421016,0.7206124,0.090955906,0.09670144
388.5,198.5,74.41625625,36.67091401,0.25454026,0.2087442,0.19214311,0.15647943,0.008459958,0.009432628
463.5,198.5,74.43891677,36.67102292,0.5095682,0.5458033,0.55745274,0.5090907,0.089259386,0.08482582
465.5,198.5,74.43952106,36.67102577,0.8971503,0.81950814,0.8592631,0.8404836,0.11222266,0.11855821
468.5,198.5,74.44042748,36.67103003,0.90419257,0.9316803,0.9447048,0.87526745,0.11855821,0.1219153
476.5,198.5,74.44284461,36.67104136,0.45644367,0.48120216,0.53172094,0.54617536,0.2222678,0.20954272
223.5,200.5,74.36640753,36.67017243,0.97397494,0.98469126,1.0308396,0.9204985,0.13061526,0.14322719
228.5,200.5,74.3679182,36.67018046,0.95845205,0.9794644,1.0210952,0.8693597,0.12705545,0.13381037
231.5,200.5,74.3688246,36.67018527,0.8920268,0.9185811,0.9572964,0.8307495,0.10618383,0.11231249
236.5,200.5,74.37033527,36.67019327,0.9044766,0.9131442,0.9510715,0.8345317,0.12201789,0.12945975
242.5,200.5,74.37214808,36.67020284,0.88057506,0.91043884,0.94986326,0.81362444,0.11560644,0.12121646
256.5,200.5,74.37637796,36.67022506,0.65869606,0.64276165,0.6588461,0.6519116,0.12734169,0.13323793
